context_feature,threshold_q99,Label,Flow IAT Std,Flow Duration,Flow Bytes/s,Flow IAT Mean,Active Mean,Packet Length Std
Flow IAT Mean,24998409.05000024,BENIGN,,72542291,0.1654207475,72542291.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64999629,1.4769315068,64999629.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64091318,1.1546025625,64091318.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64091129,0.0936167001,64091129.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64089706,0.0,64089706.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64089700,0.0,64089700.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64089221,0.0,64089221.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64089209,0.1872390093,64089209.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64089208,0.0,64089208.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64086784,0.0936230471,64086784.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64086780,0.093623053,64086780.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64079636,1.1548130517,64079636.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64079636,1.1548130517,64079636.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64079629,1.1548131778,64079629.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64079616,1.1548134121,64079616.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64079100,1.1548227113,64079100.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64077356,1.1548541422,64077356.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64077175,1.1548574044,64077175.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64074803,0.0,64074803.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64074786,0.0,64074786.0,,
Flow IAT Mean,24998409.05000024,BENIGN,,64074775,0.0,64074775.0,,
Flow Duration,117771298.15,BENIGN,,119999975,25.6583386788,,,
Flow Duration,117771298.15,BENIGN,,119999835,4807043.393018,,,
Flow Duration,117771298.15,BENIGN,,119999670,5257252.35744398,,,
Flow Duration,117771298.15,BENIGN,,119999579,0.0,,,
Flow Duration,117771298.15,BENIGN,,119999206,8.5083896305,,,
Flow Duration,117771298.15,BENIGN,,119998511,0.0,,,
Flow Duration,117771298.15,BENIGN,,119998175,9.4668106411,,,
Flow Duration,117771298.15,BENIGN,,119997533,103.1354536264,,,
Flow Duration,117771298.15,BENIGN,,119997268,9.7085543648,,,
Flow Duration,117771298.15,BENIGN,,119995856,65.6272663283,,,
Flow Duration,117771298.15,BENIGN,,119994453,7.5503490149,,,
Flow Duration,117771298.15,BENIGN,,119993403,25.3180585269,,,
Flow Duration,117771298.15,BENIGN,,119993059,0.8500491683,,,
Flow Duration,117771298.15,BENIGN,,119988949,0.8500782851,,,
Flow Duration,117771298.15,BENIGN,,119988262,49.238149645,,,
Flow Duration,117771298.15,BENIGN,,119985567,71.0585465667,,,
Flow Duration,117771298.15,BENIGN,,119982400,1379.1439411114,,,
Flow Duration,117771298.15,BENIGN,,119980202,33.2054783505,,,
Flow Duration,117771298.15,BENIGN,,119978138,212.8304408258,,,
Flow Duration,117771298.15,BENIGN,,119975617,12.085789065,,,
Flow Duration,117771298.15,BENIGN,,119975606,54.0609896982,,,
Flow Duration,117771298.15,BENIGN,,119973515,205.1369420993,,,
Flow Duration,117771298.15,BENIGN,,119971108,844.9117599214,,,
Flow Duration,117771298.15,BENIGN,,119970779,1.9004627785,,,
Flow Duration,117771298.15,BENIGN,,119969529,0.0,,,
Active Mean,1391085.9450000117,BENIGN,,119999835,4807043.393018,,101659665.0,
Active Mean,1391085.9450000117,BENIGN,,119480354,374.5050839069,,42521986.5,
Active Mean,1391085.9450000117,BENIGN,,70689504,2268.4414365109,,23936682.0,
Active Mean,1391085.9450000117,BENIGN,,119285755,1439.1156764695,,21394556.3333333,
Active Mean,1391085.9450000117,BENIGN,,88602696,1096655.68189934,,18908707.0,
Active Mean,1391085.9450000117,BENIGN,,104527327,5479.5240291565,,17710321.0,
Active Mean,1391085.9450000117,BENIGN,,118285272,807.3870768966,,16715066.25,
Active Mean,1391085.9450000117,BENIGN,,119957592,300.0810486426,,15423981.5,
Active Mean,1391085.9450000117,BENIGN,,73027251,10.5166220758,,15028108.0,
Active Mean,1391085.9450000117,BENIGN,,29715992,12930.9834246826,,14715646.0,
Active Mean,1391085.9450000117,BENIGN,,119231646,0.0,,14354272.6,
Active Mean,1391085.9450000117,BENIGN,,72018466,10.6639316644,,14017046.0,
Active Mean,1391085.9450000117,BENIGN,,72002598,10.6662817917,,14002291.0,
Active Mean,1391085.9450000117,BENIGN,,70975423,10.8206470288,,13975182.0,
Active Mean,1391085.9450000117,BENIGN,,69950862,12.3515275623,,13950550.0,
Active Mean,1391085.9450000117,BENIGN,,72509486,4848.6069808852,,13721223.0,
Active Mean,1391085.9450000117,BENIGN,,90561972,6971.6348491175,,13691253.0,
Active Mean,1391085.9450000117,BENIGN,,116773817,0.0,,13467207.0,
Active Mean,1391085.9450000117,BENIGN,,70681197,2262.1009092418,,13403989.3333333,
Active Mean,1391085.9450000117,BENIGN,,58673353,12124.2261372041,,13079684.0,
Active Mean,1391085.9450000117,BENIGN,,69018971,11.1273753994,,13017285.0,
Active Mean,1391085.9450000117,BENIGN,,69006863,11.1293278177,,13006222.0,
Active Mean,1391085.9450000117,BENIGN,,87841607,5178.6165524044,,12981889.0,
Active Mean,1391085.9450000117,BENIGN,,117492346,319.1016374803,,12325537.6666667,
Active Mean,1391085.9450000117,BENIGN,,89157065,2448.4767415796,,12288311.0,
Packet Length Std,1048.7964055605732,BENIGN,,4863608,32922.6779789819,,,3289.64350911
Packet Length Std,1048.7964055605732,BENIGN,,67922438,5179.9377401618,,,2713.7373243564
Packet Length Std,1048.7964055605732,BENIGN,,113967000,1720.0593154159,,,2385.683699973
Packet Length Std,1048.7964055605732,BENIGN,,6256555,23173.1360149475,,,1904.0213778111
Packet Length Std,1048.7964055605732,BENIGN,,119968930,1773.0590745454,,,1819.2788786862
Packet Length Std,1048.7964055605732,BENIGN,,14427228,2615.2633062984,,,1750.4099964754
Packet Length Std,1048.7964055605732,BENIGN,,65281703,959838.700899087,,,1745.0533614423
Packet Length Std,1048.7964055605732,BENIGN,,68398885,1427.8595330904,,,1689.8040073314
Packet Length Std,1048.7964055605732,BENIGN,,116212447,533.1442681006,,,1610.6882108069
Packet Length Std,1048.7964055605732,BENIGN,,21506635,1711.3788372751,,,1583.2722956571
Packet Length Std,1048.7964055605732,BENIGN,,115334590,434.7524883905,,,1581.8533100906
Packet Length Std,1048.7964055605732,BENIGN,,117295591,500.607051803,,,1557.0408214357
Packet Length Std,1048.7964055605732,BENIGN,,16993262,1598.5159294313,,,1553.3067086647
Packet Length Std,1048.7964055605732,BENIGN,,107098266,1787.6386532719,,,1547.2422069314
Packet Length Std,1048.7964055605732,BENIGN,,118928601,435.0341260636,,,1546.4428937726
Packet Length Std,1048.7964055605732,BENIGN,,116621599,645.0263128359,,,1502.2761291641
Packet Length Std,1048.7964055605732,BENIGN,,113291761,423.9143215366,,,1488.3123102761
Packet Length Std,1048.7964055605732,BENIGN,,232368,66833.6431866694,,,1482.2017230163
Packet Length Std,1048.7964055605732,BENIGN,,5206982,3106.0218760119,,,1469.3651487011
Packet Length Std,1048.7964055605732,BENIGN,,116592937,323.1070506441,,,1467.022863478
Packet Length Std,1048.7964055605732,BENIGN,,116827876,338.3439068943,,,1441.3199389324
Packet Length Std,1048.7964055605732,BENIGN,,114168541,358.1284269894,,,1429.6231967254
Packet Length Std,1048.7964055605732,BENIGN,,116823420,84147.185555773,,,1420.9451074943
Packet Length Std,1048.7964055605732,BENIGN,,3029,1152195.44404094,,,1418.9108029283
Packet Length Std,1048.7964055605732,BENIGN,,10146491,836.5453633182,,,1411.9924205137
